0,3,3,-0.000002,0.334670,368.769989
0,92,100,,,
0,3,3,,,
1,91,91,,,
0,3,3,,,
2,91,93,,,
0,3,3,,,
3,91,91,,,
0,3,3,,,
4,91,93,,,
0,3,3,,,
5,92,92,,,
0,3,3,,,
6,93,93,,,
0,3,3,,,
7,89,99,,,
0,3,3,,,
8,90,93,,,
0,3,3,,,
9,92,101,,,
0,3,3,,,
10,98,90,,,
0,3,3,,,
11,91,89,,,
0,3,3,,,
12,101,102,,,
0,3,3,,,
13,90,92,,,
0,3,3,,,
14,87,89,,,
0,3,3,,,
15,91,100,,,
0,3,3,,,
16,91,91,,,
0,3,3,,,
17,92,93,,,
0,3,3,,,
18,93,91,,,
0,3,3,,,
19,92,91,,,
0,3,3,,,
20,92,94,,,
0,3,3,,,
21,91,93,,,
0,3,3,,,
22,92,100,,,
0,3,3,,,
23,90,92,,,
0,3,3,,,
24,92,99,,,
0,3,3,,,
25,101,94,,,
0,3,3,,,
26,91,93,,,
0,3,3,,,
27,101,101,,,
0,3,3,,,
28,90,93,,,
0,3,3,,,
29,92,91,,,
0,3,3,,,
30,91,101,,,
0,3,3,,,
31,93,91,,,
0,3,3,,,
32,91,92,,,
0,3,3,,,
33,91,91,,,
0,3,3,,,
34,90,90,,,
0,3,3,,,
35,94,92,,,
0,3,3,,,
36,89,92,,,
0,3,3,,,
37,89,101,,,
0,3,3,,,
38,91,92,,,
0,3,3,,,
39,92,101,,,
0,3,3,,,
40,100,94,,,
0,3,3,,,
41,92,91,,,
0,3,3,,,
42,100,100,,,
0,3,3,,,
43,90,92,,,
0,3,3,,,
44,92,93,,,
0,3,3,,,
45,94,101,,,
0,3,3,,,
46,94,93,,,
0,3,3,,,
47,94,93,,,
0,3,3,,,
48,89,92,,,
0,3,3,,,
49,92,90,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,87,100,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,99,,,
0,3,3,,,
0,100,94,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,100,101,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,93,,,
0,3,3,,,
0,94,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,87,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,101,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,100,100,,,
0,3,3,,,
0,94,93,,,
0,3,3,,,
0,87,89,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,90,95,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,87,89,,,
0,3,3,,,
0,87,99,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,100,91,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,88,98,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,90,89,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,87,98,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,100,94,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,102,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,87,91,,,
0,3,3,,,
0,93,100,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,91,94,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,100,90,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,90,93,,,
0,3,3,,,
0,88,91,,,
0,3,3,,,
0,91,100,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,96,93,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,86,100,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,100,94,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,100,103,,,
0,3,3,,,
0,94,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,94,,,
0,3,3,,,
0,93,92,,,
0,3,3,,,
0,92,90,,,
0,3,3,,,
0,90,90,,,
0,3,3,,,
0,85,89,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,99,90,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,94,100,,,
0,3,3,,,
0,92,96,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,88,92,,,
0,3,3,,,
0,88,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,101,94,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,99,100,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,87,89,,,
0,3,3,,,
0,91,100,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,93,92,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,85,97,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,93,100,,,
0,3,3,,,
0,99,91,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,100,101,,,
0,3,3,,,
0,90,93,,,
0,3,3,,,
0,89,93,,,
0,3,3,,,
0,93,99,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,98,90,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,97,99,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,94,100,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,90,90,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,99,90,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,100,101,,,
0,3,3,,,
0,91,94,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,94,101,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,88,93,,,
0,3,3,,,
0,85,100,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,97,90,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,90,94,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,102,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,101,92,,,
0,3,3,,,
0,93,91,,,
0,3,3,,,
0,99,101,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,87,89,,,
0,3,3,,,
0,90,99,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,94,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,87,92,,,
0,3,3,,,
0,87,99,,,
0,3,3,,,
0,90,89,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,100,92,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,91,99,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,100,91,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,90,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,90,97,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,96,96,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,84,99,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,98,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,100,98,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,87,91,,,
0,3,3,,,
0,94,103,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,94,94,,,
0,3,3,,,
0,90,90,,,
0,3,3,,,
0,89,93,,,
0,3,3,,,
0,87,99,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,99,,,
0,3,3,,,
0,97,92,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,100,99,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,91,100,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,93,100,,,
0,3,3,,,
0,99,94,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,100,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,91,101,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,90,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,87,99,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,99,91,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,98,99,,,
0,3,3,,,
0,91,95,,,
0,3,3,,,
0,88,90,,,
0,3,3,,,
0,94,101,,,
0,3,3,,,
0,93,91,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,90,94,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,99,,,
0,3,3,,,
0,99,92,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,98,101,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,99,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,100,92,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,100,100,,,
0,3,3,,,
0,90,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,94,101,,,
0,3,3,,,
0,91,96,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,91,94,,,
0,3,3,,,
0,90,90,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,86,100,,,
0,3,3,,,
0,94,92,,,
0,3,3,,,
0,93,100,,,
0,3,3,,,
0,100,94,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,102,100,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,87,91,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,94,93,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,92,90,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,100,91,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,102,101,,,
0,3,3,,,
0,92,92,,,
0,3,3,,,
0,87,89,,,
0,3,3,,,
0,90,100,,,
0,3,3,,,
0,93,91,,,
0,3,3,,,
0,92,94,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,94,,,
0,3,3,,,
0,93,94,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,101,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,101,103,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,92,97,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,93,92,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,99,,,
0,3,3,,,
0,99,92,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,100,100,,,
0,3,3,,,
0,92,93,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,90,100,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,87,101,,,
0,3,3,,,
0,92,95,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,97,90,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,100,100,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,90,100,,,
0,3,3,,,
0,91,89,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,89,90,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,85,97,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,93,101,,,
0,3,3,,,
0,100,92,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,100,100,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,91,102,,,
0,3,3,,,
0,94,91,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,91,91,,,
0,3,3,,,
0,94,93,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,89,101,,,
0,3,3,,,
0,91,95,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,100,94,,,
0,3,3,,,
0,92,89,,,
0,3,3,,,
0,100,97,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,90,97,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,93,93,,,
0,3,3,,,
0,89,91,,,
0,3,3,,,
0,94,94,,,
0,3,3,,,
0,94,94,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,100,,,
0,3,3,,,
0,101,92,,,
0,3,3,,,
0,93,96,,,
0,3,3,,,
0,97,99,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,92,101,,,
0,3,3,,,
0,90,91,,,
0,3,3,,,
0,91,93,,,
0,3,3,,,
0,89,89,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,91,90,,,
0,3,3,,,
0,89,92,,,
0,3,3,,,
0,87,101,,,
0,3,3,,,
0,91,92,,,
0,3,3,,,
0,93,100,,,
0,3,3,,,
0,99,91,,,
0,3,3,,,
0,92,91,,,
0,3,3,,,
0,101,101,,,
0,3,3,,,
0,90,92,,,
0,3,3,,,
0,92,90,,,
0,3,3,,,
